건물명,지번 주소,준공년월,관리실 번호,관리실 위치,공동현관,주차장 높이,호실 층고,방화문 타입,공용시설,메모
747타워,마곡동 798-3,2019.05.02,02-2662-0747,,,,,,,
GMG엘스타,마곡동 774-1,2019.02.21,02-3664-1860,,,,,,,
M밸리 W타워4차,마곡동 798-16,2019.08.23,"02-2661-7736
3차는 02-2667-0283",,,,,,,
SH빌딩,마곡동 774,2016.07.08,,,,,,,,
VIP오피스텔,화곡동 1107,2022.10.14,,,,,,,,
가양6단지 아파트,,2023. 4. 20,,,,,,,,
가양오피스텔,가양동 1479-2,2005. 1. 21,,,,,,,,
강서한강자이타워,가양동 1498,2013. 6. 7,02-6968-5800,,,,,,,
강서힐스테이트,,2025. 9. 22,,,,,,,,
갤럭시,마곡동 793-2,2015.11.20,02-3661-3335,,종 2480,,,,,
갤럭시마곡2,마곡동 5-1,2017.06.13,02-3665-8881,,9398#,,,,,
갤럭시빌,가양동 248-2,2015. 10. 14.,,,,,,,,
건와빌딩,마곡동 797-6,2018.01.12,,,,,,,,
경동미르웰양천향교 복층,등촌동 820,2017.08.02,02-6341-3290,,#0636#,,,,,
경동미르웰양천향교2차,등촌동 685,2020.02.20,02-2659-9768,,9999,,,,,
골든타워,마곡동 795-6,2017.02.24,,,,,,,,
골든팰리스,방화동 598-148,,"070-7808-0049
010-2069-6359",,종0422,,,,,
그랑트윈A동B동,마곡동 799-7,2019.04.18,"A동 02-2038-3535
B동 02-2038-3636", 지하1층,,2.3미터,,유리문,,지하1층~4층 주차장 전기차 충전소는 지하3층 5대
금호어울림,,2023. 8. 9,,,,,,,,
기타물건,,2024. 7. 18,,,,,,,,
나인스퀘어,마곡동 800,2019.09.02,,,,,,,,
넥스트파크뷰,,2023. 8. 15,,,,,,,,
놀라움지산,마곡동 9,2023. 12. 20,문의 1811-1777,,,,,,,
뉴스토리,등촌동 683-1,2013.12.27.,소장(관리비정산) 010-9101-8547,,,,,,,
늘푸른빌라 (공항동665-16),공항동665-16,2023. 8. 15,,,,,,,,
다솔씨티하임,가양동 250-2,2022.10.19.,,,88,,,,,
다울아파트,내발산동 715-5,2025. 6. 30,,,,,,,,
대룡2차,,2023. 8. 11,,,,,,,,
대룡드림타워1차,,2025. 7. 15,,,,,,,,
대림밸리,,2023. 4. 20,,,,,,,,
대명21,마곡동 784-6,2015.05.08,02-3663-7866,,10#7330#,,,,,
대방1차,마곡동 776-2,2017.01.04,02-3663-7752,,열쇠 1281 종,,,,,
대방2차,마곡동 776,2019.03.12,02-3662-3300,,열쇠7889종,,,,,
더봄힐,등촌동 365-69,2019. 6. 7,,,,,,,,
더스카이2,방화동 620-3,,,,,,,,,
더퍼스트가양 오피스텔,등촌동 639-6,2023. 2. 9,010-9951-7828,,,,,,,
덕현제왕타워,화곡동 1026-2,,,,,,,,,
데시앙플렉스,,,,,,,,,세미나실 제공 대여비용 저렴 관리실통한 예약제 운영,
델타빌딩,가양동 99-2,2019. 4. 3,02-2659-2228관리실장 김동균 010-6332-0638대표 김정수 010-5260-9030,,,,,,,
동신대아아파트,가양동 1459,1993. 6. 17,02-2659-6771,,,,,,,
동익 드 미라벨,마곡동 768-2,2017.01.20,,,,2.3미터,,유리문,,
두산 더 랜드타워,마곡동 759-1,2017.11.08,,,,,,,,
두산더랜드파크,마곡동 757,2017.11.08,02-6980-8810,,,,,,,
등촌크라운팰리스2차,등촌동 641-2,2020.03.27,,,,,,,,
등촌투웨니퍼스트3차,등촌동 633-21,2016. 11. 23,,,,,,,,
디아이빌,가양동 239-1,2006. 6. 28,,,,,,,,
디엠프라자,마곡동 782,2020.04.17.,,,,,,,,
랑데르 2차,마곡동 774-5,2016.09.09,,,,,,,,
럭스나인L동,마곡동 758-1,2017.02.07,N동 02-2668-6001(070-4907-5840),,N동 : 공동현관 종2051,,,,,
럭스나인N동,마곡동 758-4,2017.02.07,엘동 02-3662-5030,,N동 : 공동현관 종2051,,,,,
럭키빌,가양동 239-18,2024. 12. 24,,,,,,,,
레인보우,,,,,8282 화장실 9000,,,,,
로뎀타워,마곡동 799-1,2018.10.17,02-2039-9114,,,2.3미터,,,,지하2층 분리수거장 지하4층 전기차충전소 4면
롯데캐슬,마곡동 760-2,2016.12.06,02-3665-9085,,,,,,,
